address,exist_2012,exist_2013,exist_2014,exist_2015,exist_2016,exist_2017,exist_2018,change_2013,change_2014,change_2015,change_2016,change_2017,change_2018,total_turnover,annual_turnover,max_units,change_index,multi_units,LATITUDE,LONGITUDE
2050 LAWRENCE AVE E,0,1,1,1,1,1,0,1,0,0,0,0,1,2,0.3333333333333333,1,0.3333333333333333,0,43.746382529099996,-79.294664795
2050 QUEEN ST E,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0.16666666666666666,1,0.16666666666666666,0,43.6707608594,-79.2976799952
2050 VICTORIA PARK AVE,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0.0,2,0.0,0,43.752762005,-79.3140251033
2050 YONGE ST,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.701533766800004,-79.3976899586
2052 DANFORTH AVE,0,1,1,1,1,1,0,1,0,0,0,0,1,2,0.3333333333333333,1,0.3333333333333333,0,43.685707449700004,-79.3138552249
2052 SHEPPARD AVE E,1,0,0,0,0,0,1,1,0,0,0,0,1,2,0.3333333333333333,1,0.3333333333333333,0,43.775370584399994,-79.33043881430001
2055 AVENUE RD,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.7366088006,-79.4199445154
2055 DANFORTH AVE,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0.16666666666666666,1,0.16666666666666666,0,43.6851041485,-79.3133755832
2055 LAWRENCE AVE E,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.16666666666666666,1,0.16666666666666666,0,43.7453226322,-79.2938875686
2055 YONGE ST,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0.16666666666666666,1,0.16666666666666666,0,43.7020997722,-79.3970727089
2056 DUFFERIN ST,1,1,1,1,1,1,0,0,0,0,0,2,1,3,0.5,1,0.5,0,43.686818583699996,-79.4469338472
2056 ELLESMERE RD,0,1,1,1,1,1,0,1,0,0,0,0,1,2,0.3333333333333333,1,0.3333333333333333,0,43.7771133338,-79.2345377634
2057 DUFFERIN ST,0,1,1,1,1,1,1,1,0,2,0,2,0,5,0.8333333333333334,1,0.8333333333333334,0,43.6868298225,-79.4463581921
2057 LAWRENCE AVE E,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.745114275,-79.294231509
2057 YONGE ST,0,1,1,1,1,0,1,1,0,2,0,1,1,5,0.8333333333333334,1,0.8333333333333334,0,43.70213289149999,-79.3971283122
2058 ELLESMERE RD,2,2,2,2,2,2,2,0,0,0,0,2,0,2,0.3333333333333333,2,0.16666666666666666,0,43.776736301999996,-79.2344372741
2059 DAVENPORT RD,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.6703218599,-79.4599717614
206 BALDWIN ST,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.6546458897,-79.4017694381
206 BEVERLEY ST,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0.16666666666666666,1,0.16666666666666666,0,43.6570970108,-79.3956214388
206 PARKHURST BLVD,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0.16666666666666666,1,0.16666666666666666,0,43.711252101599996,-79.3631669719
206 QUEEN ST W,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.650303,-79.38901
206 SPADINA AVE,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0.16666666666666666,1,0.16666666666666666,0,43.65051574060001,-79.3974596629
206 ST GEORGE ST,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.67071,-79.40158000000001
206 WESTON RD,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.677017008,-79.47196121399999
2060 DUNDAS ST W,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.6522011259,-79.44755465819999
2060 ELLESMERE RD,1,3,3,3,2,2,1,2,0,0,1,0,1,4,0.6666666666666666,3,0.2222222222222222,1,43.7763860871,-79.2342995375
2061 LAWRENCE AVE E,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0.3333333333333333,1,0.3333333333333333,0,43.745149398,-79.294066274
2061 STEELES AVE W,3,3,3,4,4,3,3,0,0,1,0,1,0,2,0.3333333333333333,4,0.08333333333333333,1,43.7863247694,-79.4730402183
2063 DANFORTH AVE,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.6853859565,-79.3131275772
2064 DANFORTH AVE,0,0,1,1,1,1,0,0,1,0,0,0,1,2,0.3333333333333333,1,0.3333333333333333,0,43.685794878,-79.313398367
2064 SHEPPARD AVE E,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0.16666666666666666,1,0.16666666666666666,0,43.775370584399994,-79.33043881430001
2065 DUNDAS ST W,1,2,1,1,1,0,1,1,1,0,0,1,1,4,0.6666666666666666,2,0.3333333333333333,0,43.6518696394,-79.4480051898
2065 FINCH AVE W,1,1,1,2,2,2,1,0,0,1,2,0,1,4,0.6666666666666666,2,0.3333333333333333,0,43.7557393779,-79.52328761449999
2065 LAWRENCE AVE E,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.745185721999995,-79.29388754899999
2066 AVENUE RD,0,0,0,0,1,0,1,0,0,0,1,1,1,3,0.5,1,0.5,0,43.7363200975,-79.4204765427
2066 DUNDAS ST W,0,1,1,1,1,0,1,1,0,0,0,1,1,3,0.5,1,0.5,0,43.6522047439,-79.4477982279
2066 KIPLING AVE,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.7142821109,-79.5686732092
2066 QUEEN ST E,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0.16666666666666666,1,0.16666666666666666,0,43.6708985294,-79.29723949470001
2066 YONGE ST,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0.16666666666666666,1,0.16666666666666666,0,43.7019010121,-79.3976702779
2068 AVENUE RD,0,0,1,1,0,1,0,0,1,0,1,1,1,4,0.6666666666666666,1,0.6666666666666666,0,43.736370388500006,-79.4204846932
2068 QUEEN ST E,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0.16666666666666666,1,0.16666666666666666,0,43.6708360994,-79.2971759009
2069 LAWRENCE AVE E,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.745220811,-79.293703774
207 AUGUSTA AVE,1,1,1,1,1,1,1,0,0,2,0,0,0,2,0.3333333333333333,1,0.3333333333333333,0,43.6540209013,-79.4015210705
207 DANFORTH AVE,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.6764865074,-79.3558900545
207 DUNDAS ST W,0,1,0,0,2,1,1,1,1,0,2,1,0,5,0.8333333333333334,2,0.4166666666666667,0,43.6547788563,-79.387447578
207 GALLOWAY RD,1,0,1,0,0,0,0,1,1,1,0,0,0,3,0.5,1,0.5,0,43.7667335638,-79.1961921606
207 OSSINGTON AVE,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.64862,-79.42036
207 QUEENS QUAY  W,10,10,9,8,7,7,7,2,1,1,1,6,0,11,1.8333333333333333,10,0.18333333333333332,1,43.639267,-79.380891
207 WICKSTEED AVE,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0.16666666666666666,1,0.16666666666666666,0,43.712329533,-79.350071095
207 YONGE ST,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.6536303321,-79.37939903600001
2070 AVENUE RD,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.7364288255,-79.4205063642
2070 QUEEN ST E,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.670924581899996,-79.297121313
2070 YONGE ST,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.7019333113,-79.3976763906
2071 STEELES AVE W,3,2,2,3,3,3,2,1,0,1,0,0,1,3,0.5,3,0.16666666666666666,1,43.78620512720001,-79.47346265600001
2072 DUNDAS ST W,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0.16666666666666666,1,0.16666666666666666,0,43.6522809029,-79.4479974053
2072 LAWRENCE AVE E,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.746036417,-79.293890981
2075 BAYVIEW AVE,5,7,9,8,5,4,7,4,2,1,3,1,3,14,2.3333333333333335,9,0.2592592592592593,1,43.7215005337,-79.3788545316
2075 DANFORTH AVE,0,1,1,1,1,1,1,1,0,0,2,0,0,3,0.5,1,0.5,0,43.6853598798,-79.3128788391
2075 DUFFERIN ST,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.6872675774,-79.4465223876
2075 KENNEDY RD,2,2,2,2,2,2,0,0,0,0,0,0,2,2,0.3333333333333333,2,0.16666666666666666,0,43.7781210224,-79.2851674659
2075 LAWRENCE AVE E,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0.16666666666666666,1,0.16666666666666666,0,43.745252101999995,-79.2932245847
2075 LAWRENCE AVE W,1,2,1,1,1,1,1,1,1,2,0,0,0,4,0.6666666666666666,2,0.3333333333333333,0,43.6998208757,-79.5165380137
2075 QUEEN ST E,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0.16666666666666666,1,0.16666666666666666,0,43.66998956800001,-79.299292604
2075 SHEPPARD AVE E,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0.16666666666666666,1,0.16666666666666666,0,43.775284238699996,-79.3344241078
2075 YONGE ST,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.702723854,-79.39719684149999
2076 LAWRENCE AVE E,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0.16666666666666666,1,0.16666666666666666,0,43.746081013,-79.293702921
2076 LAWRENCE AVE W,1,1,1,1,1,0,0,0,0,0,2,1,0,3,0.5,1,0.5,0,43.70002543729999,-79.5179484304
2076 QUEEN ST E,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.6709484121,-79.2966973933
2076 YONGE ST,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0.16666666666666666,1,0.16666666666666666,0,43.7020487518,-79.3977036049
2077 DANFORTH AVE,1,1,2,2,2,2,1,0,1,0,0,0,1,2,0.3333333333333333,2,0.16666666666666666,0,43.68541685,-79.3128692946
2078 DUNDAS ST W,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0.16666666666666666,1,0.16666666666666666,0,43.652338179,-79.4481342425
2078 LAWRENCE AVE E,0,0,1,0,0,0,0,0,1,1,0,0,0,2,0.3333333333333333,1,0.3333333333333333,0,43.746111683,-79.293578844
2079 DUFFERIN ST,0,0,0,0,1,1,0,0,0,0,1,0,1,2,0.3333333333333333,1,0.3333333333333333,0,43.6873692386,-79.44650288220001
2079 LAWRENCE AVE W,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.699757644399995,-79.51701009930001
208 AUGUSTA AVE,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0.3333333333333333,1,0.3333333333333333,0,43.6546192554,-79.40244674270001
208 BLOOR ST W,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0.0,2,0.0,0,43.668695418,-79.39589699999999
208 OAKWOOD AVE,0,1,1,0,0,0,0,1,0,1,0,0,0,2,0.3333333333333333,1,0.3333333333333333,0,43.6819558307,-79.4368989771
208 QUEENS QUAY  W,4,5,5,5,5,7,4,1,2,0,0,2,3,8,1.3333333333333333,7,0.19047619047619047,1,43.639874,-79.381424
208 WESTON RD,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0.16666666666666666,1,0.16666666666666666,0,43.6771786491,-79.4722316541
2080 LAWRENCE AVE W,0,1,1,1,0,0,0,1,0,0,1,0,0,2,0.3333333333333333,1,0.3333333333333333,0,43.6999905985,-79.5180228142
2081 STEELES AVE W,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0.0,2,0.0,0,43.7861121238,-79.47399525520001
2082 KIPLING AVE,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0.16666666666666666,1,0.16666666666666666,0,43.715430544300006,-79.56907494
2082 LAWRENCE AVE E,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0.16666666666666666,1,0.16666666666666666,0,43.746184153,-79.293274477
2083 LAKE SHORE BLVD W,1,2,0,1,1,1,1,1,2,1,0,0,2,6,1.0,2,0.5,0,43.6299690674,-79.4768670603
2083 WESTON RD,0,1,1,1,0,0,0,1,0,0,1,0,0,2,0.3333333333333333,1,0.3333333333333333,0,43.7023763929,-79.5224902747
2084 LAWRENCE AVE E,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.746212041999996,-79.29316589300001
2084 YONGE ST,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0.16666666666666666,1,0.16666666666666666,0,43.702146683500004,-79.397639521
2085 ELLESMERE RD,0,1,1,1,1,0,0,1,0,0,0,1,0,2,0.3333333333333333,1,0.3333333333333333,0,43.7756212884,-79.2328838454
2085 LAWRENCE AVE E,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0.16666666666666666,1,0.16666666666666666,0,43.7455978751,-79.2926134244
2086 LAWRENCE AVE E,0,0,0,1,1,1,2,0,0,1,0,0,1,2,0.3333333333333333,2,0.16666666666666666,0,43.746239917,-79.293049573
2087 WESTON RD,0,1,1,1,1,0,0,1,0,0,0,1,0,2,0.3333333333333333,1,0.3333333333333333,0,43.702291472,-79.522894502
2088 LAWRENCE AVE E,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.16666666666666666,1,0.16666666666666666,0,43.7460581626,-79.2926471516
2088 YONGE ST,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.702202050299995,-79.3977629539
209 AUGUSTA AVE,1,1,1,0,1,1,1,0,0,1,1,0,0,2,0.3333333333333333,1,0.3333333333333333,0,43.6540964885,-79.4015247128
209 AVENUE RD,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.16666666666666666,1,0.16666666666666666,0,43.676055438999995,-79.3967649304
209 CARLTON ST,0,1,1,1,1,0,0,1,0,0,0,1,0,2,0.3333333333333333,1,0.3333333333333333,0,43.66370081350001,-79.3698158153
209 DOVERCOURT RD,1,0,1,1,1,1,1,1,1,0,0,0,0,2,0.3333333333333333,1,0.3333333333333333,0,43.646609999999995,-79.42358399999999
209 DUNDAS ST W,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.654738326499995,-79.38746845760001
209 ELLESMERE RD,1,1,2,2,2,2,2,0,1,0,0,0,0,1,0.16666666666666666,2,0.08333333333333333,0,43.7604639635,-79.3029624358
209 GEARY AVE,0,1,1,1,1,0,0,1,0,0,0,1,0,2,0.3333333333333333,1,0.3333333333333333,0,43.6694967607,-79.4381933219
209 GERRARD ST E,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0.3333333333333333,1,0.3333333333333333,0,43.661307049399994,-79.3711436886
209 QUEEN ST E,0,0,0,0,1,0,0,0,0,0,1,1,0,2,0.3333333333333333,1,0.3333333333333333,0,43.6540701716,-79.3705201482
209 VICTORIA ST,1,1,1,2,2,2,2,0,0,1,0,0,0,1,0.16666666666666666,2,0.08333333333333333,0,43.6549353446,-79.37868412
209 WELLESLEY ST E,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.66720705979999,-79.3731970369
2090 DANFORTH AVE,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.685976966700004,-79.31244034310001
2091 WESTON RD,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0.16666666666666666,1,0.16666666666666666,0,43.702308921000004,-79.52294447199999
2093 DANFORTH AVE,1,1,1,1,1,1,1,0,0,0,0,0,2,2,0.3333333333333333,1,0.3333333333333333,0,43.6855519785,-79.3122711294
2094 LAWRENCE AVE E,0,0,1,1,1,1,0,0,1,0,0,0,1,2,0.3333333333333333,1,0.3333333333333333,0,43.7465463487,-79.292407673
2096 QUEEN ST E,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0.16666666666666666,1,0.16666666666666666,0,43.6710876191,-79.2960878526
2097 WESTON RD,1,1,0,1,1,1,1,0,1,1,2,0,0,4,0.6666666666666666,1,0.6666666666666666,0,43.702362007,-79.523094603
2097 YONGE ST,0,0,0,0,1,0,0,0,0,0,1,1,0,2,0.3333333333333333,1,0.3333333333333333,0,43.7031136589,-79.3973196898
2098 KIPLING AVE,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.7163880687,-79.5697471607
2098 YONGE ST,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0.3333333333333333,1,0.3333333333333333,0,43.702394300200005,-79.39776940739999
21 ADELAIDE ST W,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0.16666666666666666,1,0.16666666666666666,0,43.6499587491,-79.3798057904
21 BALDWIN ST,1,1,1,1,1,1,1,0,0,0,2,0,0,2,0.3333333333333333,1,0.3333333333333333,0,43.6559714742,-79.3929394374
21 CANADIAN RD,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.76013034,-79.293548361
21 COLONEL SAMUEL SMITH PARK DR,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0.0,4,0.0,1,43.595702571000004,-79.515589006
21 CORONET RD,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0.16666666666666666,1,0.16666666666666666,0,43.622611705699995,-79.5489616591
21 DAVENPORT RD,0,1,0,0,1,1,1,1,1,0,1,0,0,3,0.5,1,0.5,0,43.672768511,-79.38903583
21 DAVISVILLE AVE,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.6982821924,-79.3958141743
21 DUNDAS SQ,1,1,1,1,1,0,1,0,0,0,0,1,1,2,0.3333333333333333,1,0.3333333333333333,0,43.655768638000005,-79.379769684
21 GLOUCESTER ST,1,1,1,1,1,1,1,0,0,0,2,0,0,2,0.3333333333333333,1,0.3333333333333333,0,43.666621193999994,-79.38415474
21 GRENVILLE ST,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.16666666666666666,1,0.16666666666666666,0,43.661733097799996,-79.38443029140001
21 HENDON AVE,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.7811063858,-79.416781464
21 HIGH PARK BLVD,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0.16666666666666666,1,0.16666666666666666,0,43.645546437700006,-79.4516190408
21 HOWARD ST,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0.16666666666666666,1,0.16666666666666666,0,43.6711336653,-79.37523489350001
21 ICEBOAT TER,0,0,0,0,1,0,0,0,0,0,1,1,0,2,0.3333333333333333,1,0.3333333333333333,0,43.640440802,-79.397188942
21 JUTLAND RD,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.6265178327,-79.5261569195
21 KENSINGTON AVE,0,1,1,1,1,1,1,1,0,0,2,0,0,3,0.5,1,0.5,0,43.653197677,-79.39978240800001
21 MEDULLA AVE,0,0,1,1,1,1,0,0,1,0,0,0,1,2,0.3333333333333333,1,0.3333333333333333,0,43.621697716599996,-79.5453035119
21 MILLIKEN BLVD,2,2,4,4,4,4,1,0,2,0,0,0,3,5,0.8333333333333334,4,0.20833333333333334,1,43.804147827799994,-79.2937732359
21 OLD MILL RD,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.65095014550001,-79.4934452357
21 OSSINGTON AVE,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.16666666666666666,1,0.16666666666666666,0,43.6449034054,-79.4187664656
21 POULETT ST,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0.16666666666666666,1,0.16666666666666666,0,43.6580417471,-79.3661700108
21 PROGRESS AVE,0,0,1,1,2,2,0,0,1,0,1,0,2,4,0.6666666666666666,2,0.3333333333333333,0,43.7697804255,-79.2796395923
21 ROYALCREST RD,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.7499174988,-79.6080258467
21 SIGNAL HILL AVE,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0.16666666666666666,1,0.16666666666666666,0,43.752244602,-79.624154365
21 ST CLAIR AVE E,0,1,1,1,1,1,0,1,0,0,0,0,1,2,0.3333333333333333,1,0.3333333333333333,0,43.6880859119,-79.392811382
21 ST CLAIR AVE W,0,1,1,2,2,1,2,1,0,1,0,1,1,4,0.6666666666666666,2,0.3333333333333333,0,43.6876961575,-79.3949431125
21 TORYORK DR,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0.16666666666666666,1,0.16666666666666666,0,43.75322795090001,-79.54419409569999
21 TRANSWELL AVE,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.780214284399996,-79.4435932669
21 TROJAN GT,2,2,1,1,1,1,1,0,1,0,0,0,0,1,0.16666666666666666,2,0.08333333333333333,0,43.8038472267,-79.2960897169
21 VAUGHAN RD,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0.16666666666666666,1,0.16666666666666666,0,43.6823113813,-79.418488924
210 AUGUSTA AVE,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0.16666666666666666,1,0.16666666666666666,0,43.6546676299,-79.4023985094
210 MARKHAM RD,0,2,1,1,1,0,0,2,1,0,2,1,0,6,1.0,2,0.5,0,43.743968511999995,-79.219753238
210 MARLEE AVE,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.7051388233,-79.4425545922
210 OSSINGTON AVE,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.6488999755,-79.42091490279999
210 SILVER STAR BLVD,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.8105576296,-79.2938284372
210 WILSON AVE,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0.16666666666666666,1,0.16666666666666666,0,43.73961394810001,-79.4255595684
2100 BLOOR ST W,1,1,1,1,1,1,2,0,0,0,0,0,1,1,0.16666666666666666,2,0.08333333333333333,0,43.6526121394,-79.4709993868
2100 DANFORTH AVE,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.686111821800004,-79.31221471399999
2100 QUEEN ST E,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0.16666666666666666,1,0.16666666666666666,0,43.6711615209,-79.2959781155
2100 YONGE ST,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0.16666666666666666,1,0.16666666666666666,0,43.7026385425,-79.39785999520001
2101 BRIMLEY RD,3,3,0,0,0,1,2,0,3,0,0,1,1,5,0.8333333333333334,3,0.2777777777777778,1,43.7889052409,-79.2686815546
2101 ISLINGTON AVE,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0.16666666666666666,1,0.16666666666666666,0,43.7036880262,-79.5488875261
2101 LAWRENCE AVE E,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.745483659399994,-79.2915432608
2102 DUNDAS ST W,1,1,1,1,1,1,1,0,2,0,0,0,0,2,0.3333333333333333,1,0.3333333333333333,0,43.6526394087,-79.4486901773
2102 QUEEN ST E,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.6711447791,-79.2956351959
2104 BRIDLETOWNE CRCL,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0.16666666666666666,1,0.16666666666666666,0,43.798866,-79.31337950000002
2104 DANFORTH AVE,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.6861734784,-79.31215354220001
2105 LAWRENCE AVE E,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.7457523103,-79.2915635954
2108 BRIDLETOWNE CRCL,0,0,1,1,0,0,0,0,1,0,1,0,0,2,0.3333333333333333,1,0.3333333333333333,0,43.79887960000001,-79.31339859999999
2109 JANE ST,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.7186761904,-79.5075579683
211 CONSUMERS RD,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0.16666666666666666,1,0.16666666666666666,0,43.7718145463,-79.3319330505
211 GEARY AVE,1,1,1,1,1,1,1,0,2,0,0,0,0,2,0.3333333333333333,1,0.3333333333333333,0,43.6694769792,-79.4382877471
211 QUEEN ST E,1,1,1,1,1,1,1,0,0,2,0,0,0,2,0.3333333333333333,1,0.3333333333333333,0,43.654104916899996,-79.37047226920002
211 RONCESVALLES AVE,0,1,1,1,1,1,0,1,0,0,0,0,1,2,0.3333333333333333,1,0.3333333333333333,0,43.645613967799996,-79.4485284513
211 YONGE ST,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0.16666666666666666,1,0.16666666666666666,0,43.653786198999995,-79.3794983769
2110 YONGE ST,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0.16666666666666666,1,0.16666666666666666,0,43.702823028599994,-79.3978592542
2111 FINCH AVE W,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0.16666666666666666,1,0.16666666666666666,0,43.754975261700004,-79.5265288674
2111 JANE ST,4,4,4,4,4,4,4,0,2,2,4,2,0,10,1.6666666666666667,4,0.4166666666666667,1,43.7189771377,-79.5078029041
2111 SHEPPARD AVE E,0,1,1,1,2,1,1,1,0,0,1,1,0,3,0.5,2,0.25,0,43.775242533500005,-79.33405003930001
2111 YONGE ST,0,0,1,1,1,0,0,0,1,0,0,1,0,2,0.3333333333333333,1,0.3333333333333333,0,43.7033498163,-79.3973464788
2112 DANFORTH AVE,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.16666666666666666,1,0.16666666666666666,0,43.68614969229999,-79.3119802851
2112 YONGE ST,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0.3333333333333333,1,0.3333333333333333,0,43.702858053599996,-79.3978933403
2115 FINCH AVE W,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0.16666666666666666,1,0.16666666666666666,0,43.754270726499996,-79.5270934015
2116 BLOOR ST W,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0.16666666666666666,1,0.16666666666666666,0,43.652239332700006,-79.4722283257
2116 BRIDLETOWNE CRCL,1,1,1,0,0,0,0,0,2,1,0,0,0,3,0.5,1,0.5,0,43.798899,-79.3134262
2116 DANFORTH AVE,1,1,1,1,1,1,1,2,0,0,0,2,0,4,0.6666666666666666,1,0.6666666666666666,0,43.6861672983,-79.311908387
2116 KIPLING AVE,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.7176291241,-79.5701692449
2116 QUEEN ST E,2,2,2,2,3,3,3,0,0,0,1,0,0,1,0.16666666666666666,3,0.05555555555555555,1,43.6713455644,-79.29488703279999
2118 BLOOR ST W,0,1,1,1,0,0,0,1,0,0,1,0,0,2,0.3333333333333333,1,0.3333333333333333,0,43.652186228599994,-79.4722517701
2118 BRIDLETOWNE CRCL,0,1,1,0,0,0,0,1,2,1,0,0,0,4,0.6666666666666666,1,0.6666666666666666,0,43.7987553,-79.3136233
2118 QUEEN ST E,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.671410372299995,-79.2948704691
212 ADELAIDE ST W,1,1,0,2,1,1,1,0,1,2,1,0,0,4,0.6666666666666666,2,0.3333333333333333,0,43.648633150200006,-79.38751984310001
212 DUNDAS ST E,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0.16666666666666666,1,0.16666666666666666,0,43.6577344764,-79.37341039479999
212 KING ST W,2,2,2,2,2,1,1,0,0,2,0,1,0,3,0.5,2,0.25,0,43.6476881507,-79.3864367095
